31_322_799.txt (732.653061224, 0.0) (828.571428571, 0.006) (708.163265306, 0.0) (798.979591837, 0.0, (-1000000.0, 10.0))
958_1117_4919.txt (3228.57142857, 0.0) (3582.65306122, 0.013) (3057.14285714, 0.0) (3478.57142857, 0.0, (-1000000.0, 30.0))
5523_7663_2836.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4109.18367347, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
2997_4068_2491.txt (3601.02040816, 0.0) (3864.28571429, 0.005) (3317.34693878, 0.0) (3841.83673469, 0.0, (-1000000.0, 10.0))
265_346_5677.txt (3503.06122449, 0.0) (4109.18367347, 0.008) (3541.83673469, 0.0) (3943.87755102, 0.0, (-1000000.0, 30.0))
4268_5779_6025.txt (4095.91836735, 0.0) (4188.7755102, 0.0) (3977.55102041, 0.0) (4188.7755102, 0.0, (-1000000.0, 40.0))
4270_5586_6166.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 100.0))
797_1306_1753.txt (1737.75510204, 0.0) (1781.63265306, 0.027) (1658.16326531, 0.0) (1781.63265306, 0.0, (-1000000.0, 20.0))
5308_7043_5728.txt (4086.73469388, 0.0) (4218.36734694, 0.0) (3986.73469388, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
3938_5090_7478.txt (4043.87755102, 0.0) (4107.14285714, 0.0) (3962.24489796, 0.0) (4107.14285714, 0.0, (-1000000.0, 90.0))
737_1211_471.txt (1135.71428571, 0.0) (1166.32653061, 0.0) (1114.28571429, 0.0) (1166.32653061, 0.0, (-1000000.0, 0.0))
564_570_4313.txt (2703.06122449, 0.0) (3080.6122449, 0.011) (2761.2244898, 0.0) (2980.6122449, 0.0, (-1000000.0, 10.0))
2325_3084_3433.txt (3467.34693878, 0.003) (3738.7755102, 0.012) (3291.83673469, 0.0) (3558.16326531, 0.0, (-1000000.0, 30.0))
245_70_5174.txt (3689.79591837, 0.0) (3938.7755102, 0.0) (3443.87755102, 0.0) (3955.10204082, 0.0, (-1000000.0, 10.0))
2159_2753_7124.txt (3977.55102041, 0.0) (4168.36734694, 0.0) (3975.51020408, 0.0) (4188.7755102, 0.0, (-1000000.0, 20.0))
3696_5105_1881.txt (4032.65306122, 0.0) (4125.51020408, 0.0) (3945.91836735, 0.0) (4125.51020408, 0.0, (-1000000.0, 0.0))
4917_6809_4558.txt (4109.18367347, 0.0) (4188.7755102, 0.0) (3962.24489796, 0.0) (4188.7755102, 0.0, (-1000000.0, 0.0))
1367_1607_5821.txt (3784.69387755, 0.006) (4116.32653061, 0.008) (3641.83673469, 0.0) (3825.51020408, 0.0, (-1000000.0, 80.0))
2242_3000_1792.txt (3045.91836735, 0.0) (3150.0, 0.022) (2846.93877551, 0.0) (3053.06122449, 0.0, (-1000000.0, 10.0))
1225_1630_3443.txt (2711.2244898, 0.0) (3208.16326531, 0.03) (2606.12244898, 0.0) (3028.57142857, 0.0, (-1000000.0, 20.0))
4036_5567_1830.txt (4159.18367347, 0.0) (4218.36734694, 0.0) (3957.14285714, 0.0) (4218.36734694, 0.0, (-1000000.0, 30.0))
179_43_3758.txt (2513.26530612, 0.004) (2895.91836735, 0.056) (2560.20408163, 0.0) (2783.67346939, 0.0, (-1000000.0, 30.0))
5800_8499_923.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4168.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
2038_2991_4902.txt (3814.28571429, 0.0) (4218.36734694, 0.01) (3755.10204082, 0.003) (3925.51020408, 0.0, (-1000000.0, 60.0))
516_569_3391.txt (2711.2244898, 0.0) (2846.93877551, 0.017) (2412.24489796, 0.0) (2790.81632653, 0.0, (-1000000.0, 30.0))
1847_2839_807.txt (2594.89795918, 0.003) (2628.57142857, 0.002) (2267.34693878, 0.0) (2612.24489796, 0.0, (-1000000.0, 10.0))
1881_2674_1926.txt (2507.14285714, 0.0) (2740.81632653, 0.002) (2546.93877551, 0.0) (2694.89795918, 0.0, (-1000000.0, 40.0))
2296_3200_2652.txt (3287.75510204, 0.009) (3605.10204082, 0.013) (3223.46938776, 0.0) (3386.73469388, 0.0, (-1000000.0, 40.0))
1222_1556_2827.txt (2286.73469388, 0.035) (2344.89795918, 0.034) (2074.48979592, 0.01) (2111.2244898, 0.006, (-1000000.0, 90.0))
5772_8283_350.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4188.7755102, 0.0) (4218.36734694, 0.0, (-1000000.0, 90.0))
3004_4434_2908.txt (3825.51020408, 0.005) (4188.7755102, 0.005) (3710.20408163, 0.0) (3938.7755102, 0.0, (-1000000.0, 50.0))
4690_6824_378.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4109.18367347, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
136_164_2559.txt (1895.91836735, 0.0) (2095.91836735, 0.068) (1727.55102041, 0.0) (1979.59183673, 0.0, (-1000000.0, 40.0))
4538_6247_4748.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4188.7755102, 0.0) (4218.36734694, 0.0, (-1000000.0, 90.0))
4811_6564_2515.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4188.7755102, 0.0) (4218.36734694, 0.0, (-1000000.0, 40.0))
5096_7471_1410.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4168.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 70.0))
1704_2416_5332.txt (3814.28571429, 0.0) (4218.36734694, 0.0) (3825.51020408, 0.0) (4218.36734694, 0.0, (-1000000.0, 0.0))
3810_5324_4274.txt (3943.87755102, 0.0) (4218.36734694, 0.0) (3801.02040816, 0.0) (4218.36734694, 0.0, (-1000000.0, 0.0))
3930_5029_6667.txt (4118.36734694, 0.0) (4168.36734694, 0.0) (4086.73469388, 0.0) (4168.36734694, 0.0, (-1000000.0, 20.0))
3436_4549_4325.txt (3780.6122449, 0.0) (4077.55102041, 0.0) (3873.46938776, 0.0) (4077.55102041, 0.0, (-1000000.0, 0.0))
1199_1694_2465.txt (2423.46938776, 0.0) (2650.0, 0.004) (2293.87755102, 0.0) (2594.89795918, 0.0, (-1000000.0, 30.0))
5079_7390_734.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4168.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 70.0))
1540_2302_2398.txt (2354.08163265, 0.0) (2504.08163265, 0.031) (2120.40816327, 0.0) (2354.08163265, 0.0, (-1000000.0, 50.0))
3769_5021_3749.txt (3825.51020408, 0.0) (4218.36734694, 0.001) (3736.73469388, 0.0) (4168.36734694, 0.0, (-1000000.0, 30.0))
4774_6780_1725.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4129.59183673, 0.0) (4218.36734694, 0.0, (-1000000.0, 70.0))
4795_6647_2296.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4138.7755102, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
3522_4848_5690.txt (4088.7755102, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 100.0))
3826_5365_4952.txt (3923.46938776, 0.0) (4077.55102041, 0.0) (3873.46938776, 0.0) (4077.55102041, 0.0, (-1000000.0, 20.0))
2672_3539_3136.txt (3251.02040816, 0.0) (3775.51020408, 0.02) (3194.89795918, 0.0) (3629.59183673, 0.0, (-1000000.0, 20.0))
3959_5128_7469.txt (4109.18367347, 0.0) (4218.36734694, 0.0) (4129.59183673, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
203_434_4112.txt (2957.14285714, 0.0) (3290.81632653, 0.02) (2827.55102041, 0.0) (3194.89795918, 0.0, (-1000000.0, 20.0))
6243_8765_2551.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 100.0))
3822_5089_4788.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4159.18367347, 0.0) (4218.36734694, 0.0, (-1000000.0, 60.0))
4611_6377_6171.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0) (4218.36734694, 0.0, (-1000000.0, 100.0))
6262_8967_2874.txt (4218.36734694, 0.0) (4218.36734694, 0.0) (4159.18367347, 0.0) (4218.36734694, 0.0, (-1000000.0, 30.0))
998_1127_5549.txt (3486.73469388, 0.005) (3893.87755102, 0.014) (3367.34693878, 0.0) (3655.10204082, 0.0, (-1000000.0, 50.0))
4056_5838_1542.txt (4129.59183673, 0.0) (4218.36734694, 0.002) (3910.20408163, 0.0) (4159.18367347, 0.0, (-1000000.0, 10.0))
